Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
20,Suillus lakei,SL10,5,1,12.364
20,Suillus lakei,SL10,5,2,13.347
20,Suillus lakei,SL10,5,3,10.891
20,Suillus lakei,SL10,5,4,13.084
20,Suillus lakei,SL10,5,5,12.774
20,Suillus lakei,SL10,5,6,13.392
20,Suillus lakei,SL04 ,1,1,0.692
20,Suillus lakei,SL04 ,1,2,0.699
20,Suillus lakei,SL04 ,1,3,0.669
20,Suillus lakei,SL04 ,1,4,0.667
20,Suillus lakei,SL04 ,1,5,0.854
20,Suillus lakei,SL04 ,1,6,0.713
20,Suillus lakei,SL04 ,3,1,4.348
20,Suillus lakei,SL04 ,3,2,4.425
20,Suillus lakei,SL04 ,3,3,4.47
20,Suillus lakei,SL04 ,3,4,3.859
20,Suillus lakei,SL04 ,3,5,5.68
20,Suillus lakei,SL04 ,3,6,4.282
20,Suillus lakei,SL04 ,4,1,7.056
20,Suillus lakei,SL04 ,4,2,7.753
20,Suillus lakei,SL04 ,4,3,7.61
20,Suillus lakei,SL04 ,4,4,7.085
20,Suillus lakei,SL04 ,4,5,7.923
20,Suillus lakei,SL04 ,4,6,7.362
20,Suillus lakei,SL04 ,5,1,8.449
20,Suillus lakei,SL04 ,5,2,10.426
20,Suillus lakei,SL04 ,5,3,9.571
20,Suillus lakei,SL04 ,5,4,9.692
20,Suillus lakei,SL04 ,5,5,11.111
20,Suillus lakei,SL04 ,5,6,10.352
20,Rhizopogon Evadens,RZ04,1,1,0.774
20,Rhizopogon Evadens,RZ04,1,2,0.868
20,Rhizopogon Evadens,RZ04,1,3,0.92
20,Rhizopogon Evadens,RZ04,1,4,0.797
20,Rhizopogon Evadens,RZ04,1,5,0.824
20,Rhizopogon Evadens,RZ04,1,6,0.652
20,Rhizopogon Evadens,RZ04,3,1,4.256
20,Rhizopogon Evadens,RZ04,3,2,3.342
20,Rhizopogon Evadens,RZ04,3,3,4.053
20,Rhizopogon Evadens,RZ04,3,4,3.266
20,Rhizopogon Evadens,RZ04,3,5,3.309
20,Rhizopogon Evadens,RZ04,3,6,2.751
20,Rhizopogon Evadens,RZ04,4,1,5.838
20,Rhizopogon Evadens,RZ04,4,2,4.4
20,Rhizopogon Evadens,RZ04,4,3,5.54
20,Rhizopogon Evadens,RZ04,4,4,4.522
20,Rhizopogon Evadens,RZ04,4,5,4.146
20,Rhizopogon Evadens,RZ04,4,6,4.04
20,Rhizopogon Evadens,RZ04,5,1,7.006
20,Rhizopogon Evadens,RZ04,5,2,5.656
20,Rhizopogon Evadens,RZ04,5,3,6.915
20,Rhizopogon Evadens,RZ04,5,4,5.541
20,Rhizopogon Evadens,RZ04,5,5,5.358
20,Rhizopogon Evadens,RZ04,5,6,5.496
20,Rhizopogon Evadens,RZ18,1,1,1.099
